"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***,G***";"auroraicon10x10";2;"LOGO";;;
2;"REF**,REF**";"MountingHole_2.2mm_M2";2;"MountingHole_2.2mm_M2";;;
3;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
4;"G***";"hassio";1;"LOGO";;;
5;"G***";"aurora_marlin_15x15";1;"LOGO";;;
6;"G***";"aurora_marlin_10x10";1;"LOGO";;;
7;"R25,R32,R28,R20,R19,R24,R26,R30";"R_1206_3216Metric";8;"100K";;;
8;"C1";"CP_Elec_5x5.4";1;"470uF 25V";;;
9;"C2";"CP_Elec_5x5.4";1;"100uF 25V";;;
10;"C3";"CP_Elec_5x5.4";1;"10uF 25v";;;
11;"C4,C5,C6,C7,C8,C9,C10,C11";"C_1206_3216Metric";8;"10uF";;;
12;"D1,D2,D3,D7,D8,D9,D10,D11";"LED_0805_2012Metric_Castellated";8;"RED";;;
13;"D4,D5,D6,D12,D13,D14,D15,D16";"D_2010_5025Metric_Pad1.52x2.65mm_HandSolder";8;"1N4007";;;
14;"J1,J2,J3,J4,J5,J6,J8,J12";"TerminalBlock_bornier-3_P5.08mm";8;"Relay OUT";;;
15;"J7";"TerminalBlock_bornier-2_P5.08mm";1;"AC_IN";;;
16;"J9";"JST_EH_S2B-EH_1x02_P2.50mm_Horizontal";1;"5VDC";;;
17;"J10";"JST_EH_S8B-EH_1x08_P2.50mm_Horizontal";1;"MCU";;;
18;"J11";"JST_EH_S8B-EH_1x08_P2.50mm_Horizontal";1;"OPTO";;;
19;"K1,K2,K3,K4,K5,K6,K7,K8";"Relay_SPDT_SANYOU_SRD_Series_Form_C";8;"SANYOU_SRD_Form_C";;;
20;"R1,R2,R3,R7,R8,R9,R10,R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"10K";;;
21;"R4,R5,R6,R12,R13,R14,R15,R16";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"330";;;
22;"R17,R18,R21,R22,R23,R27,R29,R31";"R_1206_3216Metric";8;"200K";;;
23;"U1,U2,U3,U4,U5,U6,U7,U8";"DIP-4_W8.89mm_SMDSocket_LongPads";8;"EL814";;;
24;"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8";"SOT-23";8;"BC847";;;
